Footprint Altium,Footprint Pick And Place
,
CAPC1005X60N,C0402
CAPC1608X95N,C0603
CAP2012X145N,C0805
CAPC3216X127N,C1206
CAPC3225X168N,C1210
CAPC4520X168N,C1808
CAPC4532X127N,C1812
CAPC5650X300N,C2220
,
,
,
,
,
,
RESC1005X40N,R0402
RESC1608X84N,R0603
RESC2012X70N,R0805
RESC3216X63N,R1206
RESC3225X70N,R1210
RESC3263X08N,R1225
RESC5025X70N,R2010
RESC6432X60N,R2512
,
,
,
,
,
INDC1005X60N,L0402
INDC1006X60N,L0402
INDC1608X80N,L0603
INDC1608X95N,L0603
LQW18AN_1608X84N,L0603
INDC2012X105N,L0805
INDC2012X130N,L0805
INDC2520X100N,L1008
INDC2520X220N,L1008